Piece_ID | Slot_Position (y, x) | SSIM_Score
819      | (18, 07)             | 0.991981
820      | (13, 13)             | 0.996958
821      | (16, 21)             | 0.856234
822      | (15, 28)             | 0.319702
823      | (30, 14)             | 0.997593
824      | (01, 29)             | 0.997277
825      | (24, 16)             | 0.997554
826      | (24, 30)             | 0.995504
827      | (29, 00)             | 0.997195
828      | (11, 01)             | 0.996731
829      | (02, 09)             | 0.998707
830      | (08, 15)             | 0.998752
831      | (12, 16)             | 0.993162
832      | (19, 03)             | 0.997525
833      | (01, 18)             | 0.999442
834      | (31, 08)             | 0.996331
835      | (18, 22)             | 0.996712
836      | (02, 04)             | 0.998704
837      | (24, 18)             | 0.995105
838      | (31, 03)             | 0.999028
839      | (31, 19)             | 0.997521
840      | (29, 17)             | 0.996905
841      | (26, 22)             | 0.999083
842      | (14, 17)             | 0.996183
843      | (22, 10)             | 0.987672
844      | (21, 05)             | 0.998506
845      | (01, 25)             | 0.998904
846      | (16, 00)             | 0.861824
847      | (22, 06)             | 0.995057
848      | (28, 06)             | 0.999401
849      | (05, 03)             | 0.998111
850      | (21, 21)             | 0.996531
851      | (11, 28)             | 0.998776
852      | (25, 07)             | 0.995331
853      | (27, 19)             | 0.998730
854      | (19, 13)             | 0.995801
855      | (13, 27)             | 0.997414
856      | (22, 30)             | 0.997626
857      | (02, 10)             | 0.995950
858      | (04, 05)             | 0.997678
859      | (18, 18)             | 0.985928
860      | (10, 18)             | 0.998683
861      | (22, 13)             | 0.986711
862      | (04, 04)             | 0.997376
863      | (25, 14)             | 0.991910
864      | (08, 26)             | 0.998337
865      | (22, 05)             | 0.996424
866      | (06, 11)             | 0.996974
867      | (31, 29)             | 0.998124
868      | (20, 19)             | 0.991379
869      | (31, 23)             | 0.997841
870      | (09, 20)             | 0.997609
871      | (09, 17)             | 0.997826
872      | (17, 31)             | 0.967020
873      | (31, 10)             | 0.998049
874      | (06, 13)             | 0.994490
875      | (03, 13)             | 0.997843
876      | (23, 03)             | 0.995406
877      | (21, 28)             | 0.997077
878      | (14, 31)             | 0.998063
879      | (03, 00)             | 0.997144
880      | (15, 16)             | 0.268482
881      | (17, 27)             | 0.874817
882      | (20, 24)             | 0.997876
883      | (14, 23)             | 0.998724
884      | (03, 01)             | 0.997210
885      | (18, 24)             | 0.997896
886      | (12, 00)             | 0.996926
887      | (26, 10)             | 0.997962
888      | (24, 07)             | 0.988345
889      | (17, 13)             | 0.799414
890      | (06, 24)             | 0.997766
891      | (15, 10)             | 0.719748
892      | (01, 28)             | 0.998935
893      | (18, 11)             | 0.996723
894      | (19, 08)             | 0.997154
895      | (03, 03)             | 0.998216
896      | (02, 17)             | 0.998649
897      | (03, 18)             | 0.995909
898      | (24, 31)             | 0.997051
899      | (15, 11)             | 0.861052
900      | (21, 19)             | 0.996236
901      | (24, 02)             | 0.996397
902      | (14, 07)             | 0.997046
903      | (07, 19)             | 0.995102
904      | (00, 12)             | 0.999456
905      | (10, 16)             | 0.994742
906      | (20, 31)             | 0.999066
907      | (11, 27)             | 0.999607
908      | (26, 30)             | 0.997307
909      | (03, 14)             | 0.998035
910      | (28, 01)             | 0.998329
911      | (24, 04)             | 0.997103
912      | (20, 27)             | 0.997485
913      | (20, 00)             | 0.997455
914      | (12, 09)             | 0.993119
915      | (08, 00)             | 0.998678
916      | (10, 05)             | 0.997812
917      | (07, 24)             | 0.997477
918      | (26, 04)             | 0.994466
919      | (11, 10)             | 0.994790
920      | (09, 05)             | 0.997299
921      | (23, 27)             | 0.998295
922      | (00, 13)             | 0.998389
923      | (20, 18)             | 0.994163
924      | (07, 01)             | 0.996611
925      | (09, 06)             | 0.994828
926      | (20, 06)             | 0.995902
927      | (27, 15)             | 0.996228
928      | (12, 28)             | 0.997120
929      | (00, 31)             | 0.998738
930      | (21, 15)             | 0.994882
931      | (29, 15)             | 0.996433
932      | (30, 00)             | 0.997633
933      | (08, 17)             | 0.995956
934      | (19, 00)             | 0.999104
935      | (09, 24)             | 0.998076
936      | (23, 22)             | 0.996684
937      | (31, 16)             | 0.998257
938      | (12, 30)             | 0.996789
939      | (10, 02)             | 0.998567
940      | (19, 06)             | 0.998016
941      | (30, 03)             | 0.997982
942      | (06, 02)             | 0.999556
943      | (30, 01)             | 0.995800
944      | (08, 10)             | 0.996579
945      | (18, 17)             | 0.992508
946      | (16, 24)             | 0.502805
947      | (06, 16)             | 0.998178
948      | (08, 08)             | 0.997872
949      | (31, 20)             | 0.998735
950      | (13, 20)             | 0.995867
951      | (22, 02)             | 0.997975
952      | (14, 26)             | 0.997575
953      | (18, 05)             | 0.996118
954      | (14, 29)             | 0.998980
955      | (19, 19)             | 0.989032
956      | (30, 25)             | 0.997412
957      | (05, 00)             | 0.998569
958      | (12, 25)             | 0.997732
959      | (18, 29)             | 0.999217
960      | (23, 24)             | 0.993428
961      | (20, 20)             | 0.997016
962      | (07, 28)             | 0.996740
963      | (20, 10)             | 0.996650
964      | (19, 07)             | 0.995314
965      | (17, 08)             | 0.756004
966      | (16, 15)             | 0.589650
967      | (03, 07)             | 0.997429
968      | (04, 10)             | 0.996621
969      | (30, 29)             | 0.997720
970      | (00, 10)             | 0.997100
971      | (07, 25)             | 0.997963
972      | (28, 21)             | 0.997605
973      | (05, 09)             | 0.995286
974      | (30, 11)             | 0.995890
975      | (27, 04)             | 0.996452
976      | (07, 20)             | 0.997828
977      | (21, 17)             | 0.994851
978      | (11, 13)             | 0.996502
979      | (16, 29)             | 0.187613
980      | (21, 26)             | 0.997311
981      | (18, 01)             | 0.997625
982      | (22, 25)             | 0.996557
983      | (01, 17)             | 0.999386
984      | (17, 14)             | 0.906933
985      | (06, 07)             | 0.999364
986      | (19, 29)             | 0.998340
987      | (05, 13)             | 0.997163
988      | (22, 01)             | 0.998018
989      | (19, 17)             | 0.996531
990      | (06, 09)             | 0.996181
991      | (14, 04)             | 0.995562
992      | (15, 18)             | 0.939932
993      | (17, 01)             | 0.993669
994      | (18, 27)             | 0.997950
995      | (10, 06)             | 0.998401
996      | (31, 12)             | 0.998834
997      | (03, 17)             | 0.998923
998      | (17, 04)             | 0.818884
999      | (23, 19)             | 0.994822
1000     | (31, 30)             | 0.997747
1001     | (23, 15)             | 0.996492
1002     | (08, 21)             | 0.997972
1003     | (25, 25)             | 0.998190
1004     | (16, 10)             | 0.422690
1005     | (08, 28)             | 0.998236
1006     | (14, 16)             | 0.997123
1007     | (27, 28)             | 0.998243
1008     | (17, 06)             | 0.764289
1009     | (24, 03)             | 0.997813
1010     | (26, 13)             | 0.995633
1011     | (00, 22)             | 0.999714
1012     | (19, 09)             | 0.996840
1013     | (23, 28)             | 0.997111
1014     | (30, 09)             | 0.997347
1015     | (09, 12)             | 0.994957
1016     | (06, 15)             | 0.999368
1017     | (09, 08)             | 0.996051
1018     | (31, 00)             | 0.996294
1019     | (25, 23)             | 0.998710
1020     | (05, 18)             | 0.998154
1021     | (09, 26)             | 0.998319
1022     | (28, 25)             | 0.996536
1023     | (24, 19)             | 0.996787
